"energy","fep","sep","dep","p511","dfep","dsep","ddep","dp511","FEP","SEP","DEP","P511","nxep","exep","xep","dxep","XEP","xept","dxept","XEPT","a00","a01","a02","a03","a04","a05","a06","a07","a08","a10","a11","a12","a13","a14","a15","a16","a17","a18","a20","a21","a22","a23","a24","a25","a26","a27","a28","a30","a31","a32","a33","a34","a35","a36","a37","a38","a40","a41","a42","a43","a44","a45","a46","a47","a48","a50","a51","a52","a53","a54","a55","a56","a57","a58","b00","b01","b02","b03","b04","b05","b06","b07","b08","b10","b11","b12","b13","b14","b15","b16","b17","b18"
0.05,0.00406673,0,0,0,0.262727,0,0,0,0.987613,0,0,0,8,"0.0388992;0.0389256;0.0390177;0.0390248;0.0401136;0.0401447;0.0403112;0.05","2.80708e-08;0;4.91239e-06;2.10531e-06;2.83796e-05;1.55512e-05;2.80708e-08;0","100;0;7.55929;11.547;3.14503;4.24859;100;0","6.81705e-06;0;0.00119298;0.000511279;0.00689204;0.00377665;6.81705e-06;0",5.10047e-05,2.34597,0.0123866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0788029,0.00961013,0,0,0,0.170908,0,0,0,0.978498,0,0,0,8,"0.0677021;0.0677285;0.0678206;0.0678277;0.0689165;0.0689476;0.0691141;0.0788029","5.61416e-08;0;3.28429e-06;1.90882e-06;2.08285e-05;1.09195e-05;0;0","70.7107;0;9.245;12.1268;3.67112;5.0702;0;0","5.71631e-06;0;0.000334404;0.000194355;0.00212075;0.00111182;0;0",3.69973e-05,2.7545,0.00376705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.619901,-2.32477,3.03,1.61513,0,0,0,0,0,0.147007,-2.79774,29.412,-184.622,674.973,-1432.79,1733.52,-1106.45,288.943,1.23051,-4.88862,13.6551,-3.77932,0,0,0,0,0,0.0758545,-2.78842,48.3438,-341.528,1212.89,-2382.39,2633.02,-1536.18,368.848,1.23734,-5.01743,13.8213,-3.81844,0,0,0,0,0
0.124198,0.0108762,0,0,0,0.160653,0,0,0,0.930669,0,0,0,8,"0.113097;0.113124;0.113216;0.113223;0.114312;0.114343;0.114509;0.124198","2.80708e-08;1.12283e-07;1.8246e-06;9.54408e-07;8.89845e-06;5.24924e-06;8.42125e-08;0","100;50;12.4035;17.1499;5.61656;7.31272;57.735;0","2.40199e-06;9.60797e-06;0.00015613;8.16678e-05;0.000761432;0.000449173;7.20598e-06;0",1.71513e-05,4.04557,0.00146762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.975807,13.0687,-189.817,1280.19,-4641.75,9493.33,-11010.6,6799.1,-1741.22,0.479328,-6.37222,66.6434,-413.944,1432.43,-2844.19,3237.91,-1965.28,492.626,0.789942,-0.86929,39.9675,-382.03,1519.36,-2962.92,3065.84,-1631.41,353.779,0.0625832,1.24492,-24.4924,215.046,-903.239,1994.29,-2399.23,1493.79,-377.297,0.774546,-0.727738,30.5268,-286.871,1091.94,-1973.1,1836.6,-852.25,155.612
0.195743,0.00864957,0,0,0,0.180148,0,0,0,0.774216,0,0,0,8,"0.184643;0.184669;0.184761;0.184768;0.185857;0.185888;0.186055;0.195743","2.80708e-08;2.80708e-08;8.14054e-07;3.3685e-07;3.92992e-06;2.24567e-06;2.80708e-08;0","100;100;18.5695;28.8675;8.45154;11.1803;100;0","2.51259e-06;2.51259e-06;7.28652e-05;3.01511e-05;0.000351763;0.000201008;2.51259e-06;0",7.4107e-06,6.15457,0.000663325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.49569,0.512739,13.4469,-182.509,789.23,-1749.4,2094.74,-1260.02,296.269,0.958527,0.253738,-9.25929,25.7678,-29.1683,11.839,0,0,0,1.06754,-3.38971,30.3815,-275.346,1253.27,-2849.43,3419.16,-2086.13,511.35,0.205,-1.2675,19.3454,-132.801,479.365,-975.59,1120.57,-677.162,167.576,0.90552,-2.75145,23.1551,-233.985,1157.56,-2803.49,3553.54,-2277.94,583.941
0.308503,0.00556512,0,0,0,0.22459,0,0,0,0.549392,0,0,0,8,"0.297402;0.297429;0.297521;0.297528;0.298617;0.298648;0.298814;0.308503","0;0;0;0;0;0;0;0","0;0;0;0;0;0;0;0","0;0;0;0;0;0;0;0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.41927,3.07855,-55.4855,400.914,-1428.97,2726.76,-2843.2,1521.13,-323.569,3.54072,1.44846,-9.95098,49.4526,-107.877,113.833,-46.1052,0,0,1.89196,-9.90557,53.1543,-235.086,606.724,-823.239,539.45,-122.212,-10.5253,0.232646,0.154396,-9.89812,85.3668,-309.407,567.737,-551.806,269.06,-51.1474,0.822625,-1.82606,-33.1706,285.13,-960.715,1712.71,-1704.17,894.96,-193.486
0.486219,0.00346136,0,0,0,0.284777,0,0,0,0.374346,0,0,0,8,"0.475118;0.475144;0.475237;0.475244;0.476332;0.476364;0.47653;0.486219","0;0;0;0;0;0;0;0","0;0;0;0;0;0;0;0","0;0;0;0;0;0;0;0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.82351,-4.48043,56.2858,-346.618,1193.65,-2402.27,2792.36,-1730.17,441.269,2.11222,-0.768319,-20.5085,230.736,-1060.43,2535.2,-3276.94,2180.46,-586.281,1.63294,-7.7261,59.0204,-361.624,1153.76,-1999.39,1930.18,-981.71,205.928,0.197229,0.503211,-6.5445,16.9442,52.6646,-335.056,630.162,-517.111,158.549,0.665271,-5.69619,24.5996,-24.5287,-134.61,482.717,-663.71,428.148,-107.526
0.766309,0.00224583,0,0,0,0.35354,0,0,0,0.268412,0,0,0,8,"0.755209;0.755235;0.755327;0.755334;0.756423;0.756454;0.756621;0.766309","0;0;0;0;0;0;0;0","0;0;0;0;0;0;0;0","0;0;0;0;0;0;0;0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.09414,-1.20608,17.0479,-134.392,567.757,-1306.65,1644.92,-1064.22,276.798,1.39794,-4.77286,35.5172,-140.84,298.396,-295.998,42.951,138.048,-71.9598,1.30961,-2.93324,5.60158,-11.1462,-74.8307,368.372,-606.347,439.614,-119.628,0.167651,-1.14581,20.5206,-158.68,618.731,-1318.44,1559.62,-961.825,241.256,0.468873,-5.61294,39.9777,-163.196,403.439,-618.716,574.908,-295.751,64.4994
1.20775,0.00151585,0,0,1.40354e-07,0.430327,0,0,44.7214,0.205047,0,0,1.89855e-05,8,"1.19665;1.19667;1.19677;1.19677;1.19786;1.19789;1.19806;1.20775","0;0;0;0;0;0;0;0","0;0;0;0;0;0;0;0","0;0;0;0;0;0;0;0",0,0,0,0.553851,2.82445,-25.4969,97.8507,-170.12,90.5654,105.172,-157.835,57.1679,0.718335,-0.99104,4.6749,-10.4442,11.1619,-4.50655,0,0,0,0.904727,-2.61247,8.75121,4.49742,-120.479,367.69,-516.957,354.358,-95.5177,0.700893,-2.96142,39.3907,-233.515,739,-1325.17,1341.94,-710.852,152.159,0.719769,-0.388913,14.63,-104.816,353.529,-622.685,587.822,-273.202,46.5179,1.03291,-1.49565,-7.73836,98.5161,-485.078,1144.92,-1393.77,849.498,-205.878,0.114246,0.568846,-7.75413,37.5838,-82.5682,79.983,-12.7632,-29.7422,14.7117,0.337079,-5.40592,47.2022,-226.818,634.267,-1060.05,1042.34,-555.753,123.889
1.90348,0.00103671,4.43519e-05,4.90959e-05,6.09137e-06,0.520354,2.51577,2.39114,6.78844,0.159882,0.00683997,0.00757159,0.000939414,8,"1.89238;1.89241;1.8925;1.89251;1.8936;1.89363;1.89379;1.90348","0;0;0;0;0;0;0;0","0;0;0;0;0;0;0;0","0;0;0;0;0;0;0;0",0,0,0,0.374055,0.0315508,2.51885,-22.9127,96.5143,-221.285,278.993,-180.936,47.1325,0.578683,-3.51571,28.5465,-142.071,431.065,-792.68,858.817,-502.796,122.405,0.33706,2.31927,-36.9918,262.251,-960.749,1964.39,-2262.99,1373.26,-341.387,0.514792,-0.800599,7.53035,-45.0873,157.157,-302.226,316.989,-169.921,36.429,0.572937,1.46725,-17.0324,112.358,-397.884,819.697,-976.711,626.152,-167.165,0.821896,0.319421,-24.636,185.054,-700.599,1409.31,-1533.18,854.404,-191.489,0.106043,-0.0928268,1.19238,-15.6529,97.4714,-288.395,432.201,-318.503,91.8055,0.230576,-4.15877,36.5698,-173.11,474.802,-778.681,753.122,-396.122,87.3546
3,0.000717799,0.000159498,0.000165646,2.18391e-05,0.625354,1.32663,1.30178,3.58517,0.123251,0.027387,0.0284425,0.00374992,8,"2.9889;2.98893;2.98902;2.98902;2.99011;2.99014;2.99031;3","0;0;0;0;0;0;0;0","0;0;0;0;0;0;0;0","0;0;0;0;0;0;0;0",0,0,0,0.229926,0.798278,-5.81856,-1.73907,127.062,-450.168,689.359,-499.182,139.712,0.355517,-3.29722,26.0756,-116.872,317.32,-529.392,528.782,-289.072,66.3329,0.351585,-0.616509,20.5864,-182.533,753.833,-1661.43,2017.64,-1274.73,327.491,0.451734,-0.622,4.47157,-9.18252,-31.4867,175.032,-306.358,237.519,-69.373,0.500205,1.0746,-19.8294,173.211,-734.37,1679.15,-2105.1,1362.47,-355.93,0.622865,1.06381,-29.6479,214.667,-786.287,1542.8,-1652.65,914.145,-204.709,0.0872778,0.0926524,3.20261,-49.8131,257.513,-641.39,837.941,-553.197,145.673,0.182614,-3.98217,38.1378,-192.862,562.465,-977.254,997.408,-551.418,127.336
